observation_0,observation_1,observation_2,observation_3,observation_4,observation_5,observation_6,observation_7,observation_8,observation_9,observation_10,observation_11,observation_12,observation_13,observation_14,observation_15,observation_16,observation_17,observation_18,observation_19,observation_20,observation_21,observation_22,observation_23,observation_24,observation_25,observation_26,observation_27,observation_28,observation_29,observation_30,observation_31,observation_32,observation_33,observation_34,observation_35,observation_36,observation_37,observation_38,observation_39,observation_40,observation_41,observation_42,observation_43,observation_44,observation_45,observation_46,observation_47,observation_48,observation_49,observation_50,observation_51,observation_52,observation_53,observation_54,observation_55,observation_56,observation_57,observation_58,observation_59,observation_60,observation_61,observation_62,observation_63,observation_64,observation_65,observation_66,observation_67,observation_68,observation_69,observation_70,observation_71,observation_72,observation_73,observation_74,observation_75,observation_76,observation_77,observation_78,observation_79,observation_80,observation_81,observation_82,observation_83,observation_84,observation_85
0.356806755,0.341199785,0.327147514,0.315882355,0.307054162,0.234285727,0.132521003,0.130618587,0.110840343,0.126134455,0.121489257,0.193277329,1,0.131526604,0.184201702,0.172752097,0.179747924,0.124446779,0.115588225,0.106963113,0.101792715,0.0977941081,0.109281093,0.124404766,0.122913167,0.122196548,0.145121381,0.147037819,0.122973815,0.116423912,0.121106453,0.127376288,0.135611594,0.14584735,0.158790872,0.17558828,0.197563082,0.229045346,0.225434169,0.216911763,0.210999072,0.206718028,0.204075649,0.203361362,0.204276398,0.203865558,0.144323051,0.146328211,0.162969187,0.171321228,0.182320297,0.0799299628,0.0814285949,0.0934816003,0.107731111,0.126330569,0.153538808,0.196561724,0.253991753,0.312131196,0.308627456,0.307226926,0.308389366,0.311806738,0.318282008,0.318148941,0.330714315,0.346174181,0.366769403,0.392857224,0.41838932,0.386066735,0.193413019,0.00519833993,0.363433748,0.108838454,0.484406054,0.314770311,0.247047335,0.161251232,0.511720121,0.859152198,0.412106603,0.108688757,1,-0.103448279
0.358319342,0.342476636,0.325868338,0.315245122,0.288786024,0.23511906,0.133137256,0.13210085,0.118832916,0.126029402,0.121325858,0.193781525,1,0.131339878,0.182184875,0.173277318,0.133482724,0.121601306,0.112773106,0.105954699,0.100606903,0.0963305235,0.115863733,0.123272635,0.12201681,0.121764712,0.144528478,0.146512613,0.112530351,0.116591975,0.120588243,0.126872092,0.134939313,0.14529413,0.158338025,0.17413637,0.202268958,0.228468731,0.221839413,0.213837549,0.208160609,0.204365075,0.202394962,0.202016816,0.203099921,0.202510446,0.144346371,0.144936979,0.1614566,0.169932321,0.181120485,0.0807702988,0.0794211105,0.0881757811,0.106386557,0.123809546,0.150924414,0.194054723,0.252465129,0.312882811,0.309019625,0.307971537,0.309397787,0.312710106,0.319028974,0.328431427,0.331190497,0.347684473,0.368226022,0.394040704,0.419901937,0.387476653,0.191897318,0.00665165624,0.363784581,0.107532382,0.483767271,0.314760625,0.24594605,0.158816785,0.504104197,0.863642812,0.303147733,0.0154021857,0.789473712,-0.0344827585
0.355630249,0.340462178,0.327012151,0.316386551,0.287124068,0.236461267,0.134313732,0.133277312,0.12379089,0.12659663,0.121998131,0.193853885,1,0.132259578,0.177959844,0.174824953,0.130662918,0.120256759,0.111722678,0.104887947,0.0991409719,0.0965126231,0.123490952,0.122308597,0.121232495,0.129195943,0.144192353,0.145241603,0.11156863,0.11586602,0.120924376,0.127626061,0.136563987,0.146386564,0.158001885,0.174201727,0.202100888,0.227107868,0.219757244,0.212107852,0.206666678,0.203015894,0.201036438,0.200557917,0.201708719,0.19942224,0.144122273,0.14362745,0.160280123,0.168755859,0.179654554,0.0808403417,0.0792437196,0.0865242854,0.106344558,0.125877723,0.148571476,0.191512689,0.267551512,0.312338948,0.309243709,0.308835208,0.310732991,0.314663887,0.32160601,0.331503302,0.335084051,0.352390379,0.374435157,0.401869804,0.414453775,0.383274943,0.189878181,0.0113431253,0.362109423,0.112087056,0.479245633,0.32026118,0.241782174,0.160178453,0.510589898,0.859824359,0.383184075,-0.0833855644,0.684210539,-0.103448279
0.356470615,0.341671348,0.328958899,0.31776613,0.288842082,0.237637728,0.135658264,0.134453788,0.126872107,0.127436966,0.122833796,0.195697948,1,0.133277312,0.179402411,0.175539225,0.128776833,0.119442105,0.110882342,0.104105964,0.0959663838,0.0964705944,0.123894759,0.121760033,0.120560229,0.131651565,0.143608779,0.141118675,0.110943049,0.115247436,0.120252103,0.126953796,0.135891706,0.146015421,0.159631208,0.173193336,0.200672314,0.226034105,0.218529433,0.21076332,0.20513539,0.201757699,0.199677885,0.199549511,0.200410858,0.19959034,0.140564889,0.143123254,0.16022411,0.168923929,0.179831952,0.130391359,0.0773949698,0.086465925,0.10382355,0.122878186,0.151279226,0.187563047,0.261914253,0.313050896,0.310056031,0.309388429,0.311237186,0.315441191,0.322651744,0.332357675,0.341232508,0.353559822,0.375508904,0.402682155,0.415359467,0.384351045,0.188013211,0.013675373,0.3601062,0.114753082,0.47662124,0.322398186,0.239353731,0.161226764,0.514331877,0.857591212,0.411746174,-0.0865211338,0.684210539,-0.103448279
0.358655483,0.34368813,0.331517279,0.319719911,0.297124058,0.23948881,0.137170866,0.106890753,0.128646135,0.128781512,0.123846866,0.1967787,0.256302536,0.134117648,0.181395888,0.175490201,0.129159659,0.119105972,0.110546201,0.103711486,0.094313778,0.0969608128,0.123627461,0.121255837,0.119887955,0.1339508,0.142847821,0.139038831,0.11005602,0.114353418,0.119243704,0.125609249,0.134379104,0.142149881,0.15502803,0.170791358,0.197983235,0.22494401,0.217301592,0.209635854,0.204108313,0.200413182,0.19834736,0.198151276,0.198851556,0.199012622,0.149792194,0.141297847,0.156750709,0.164978996,0.175597608,0.188774541,0.0751540586,0.0830252171,0.100546248,0.11896129,0.146293238,0.18069686,0.264117658,0.313613474,0.310532242,0.310156405,0.311587334,0.315777332,0.322987884,0.333076566,0.345812351,0.363650858,0.375845075,0.403347433,0.417782426,0.386738986,0.185625166,0.0222920571,0.35747546,0.124152534,0.466387987,0.329367131,0.233193994,0.164683565,0.525605977,0.850728095,0.39458251,-0.0880390778,0.473684222,-0.103448279
0.361512631,0.346244186,0.334472477,0.322906166,0.307138145,0.241001397,0.138781503,0.137478992,0.128310025,0.130189076,0.125350133,0.198218942,1,0.134789914,0.182983175,0.175840333,0.12966387,0.11924836,0.11042016,0.103543408,0.0962091908,0.0980462506,0.123408027,0.120875351,0.119495794,0.141176477,0.141918778,0.143723741,0.109047621,0.113062561,0.117745116,0.123361342,0.130588248,0.140252113,0.152791798,0.168106943,0.194453835,0.221799731,0.216512606,0.208529428,0.202931836,0.199154988,0.197142884,0.196470603,0.197264254,0.198004216,0.156125039,0.139605507,0.154677883,0.162794128,0.172763795,0.186071455,0.075947687,0.0789612606,0.0869957954,0.114035979,0.136302531,0.17140764,0.154117644,0.144705892,0.311680675,0.310707301,0.312581718,0.316239506,0.322950542,0.332770824,0.34567228,0.362980932,0.374668568,0.402072877,0.422586352,0.390399128,0.182093903,0.0314796902,0.353145629,0.134991601,0.452750921,0.338422328,0.226375461,0.169211164,0.539635241,0.841898918,0.313709646,-0.0701899976,1,0.103448279
0.366218537,0.349738538,0.338071913,0.325700283,0.316489279,0.244014949,0.140630245,0.139159665,0.126414612,0.131701678,0.126535937,0.20045051,1,0.13563025,0.18501398,0.176176488,0.131680682,0.119635843,0.11058823,0.103601761,0.0959944278,0.0983823761,0.123048551,0.120247424,0.118879557,0.133923948,0.14108777,0.139543042,0.107871145,0.111886099,0.116386555,0.122334279,0.128739491,0.137899175,0.149817944,0.166013077,0.18974793,0.220018744,0.216227829,0.208193287,0.202278256,0.198223636,0.195812345,0.195065379,0.195658296,0.197163895,0.166559219,0.13775678,0.146666735,0.159936994,0.169738591,0.182205915,0.0855733827,0.0773903057,0.0855462328,0.108891249,0.132231608,0.16135861,0.155798316,0.145882353,0.312549025,0.311428577,0.312591046,0.316344559,0.322521031,0.332159191,0.344397813,0.36096409,0.372661114,0.399418861,0.429351032,0.395816922,0.181347966,0.0335795432,0.352252811,0.137340218,0.44880721,0.339352161,0.224403605,0.16967608,0.54137063,0.840784073,0.304956734,-0.0323108658,0.894736826,0.103448279
0.371428579,0.354610175,0.339547127,0.32721287,0.31788516,0.244694218,0.14299719,0.140228763,0.122847855,0.133655459,0.128211945,0.200499535,1,0.136302531,0.184388414,0.177163884,0.131652638,0.120644242,0.109873943,0.102761425,0.102927089,0.101498626,0.12236698,0.120079361,0.118375346,0.128481627,0.140247434,0.141475841,0.106694683,0.11037349,0.114691883,0.120403841,0.127861828,0.136890769,0.148809537,0.164701238,0.183781564,0.211529002,0.216629326,0.208123252,0.20192343,0.197637722,0.194972008,0.194010273,0.194239035,0.195966393,0.180970982,0.136255845,0.144145742,0.158468723,0.168034568,0.17817229,0.193268016,0.0741316602,0.0833613649,0.102866501,0.123809561,0.157338992,0.202770874,0.294354647,0.313529432,0.312028497,0.312600374,0.316113472,0.322184891,0.330952406,0.342843175,0.358940303,0.369430482,0.395483255,0.432511657,0.402499974,0.179898992,0.0378781147,0.352348655,0.139073342,0.442749023,0.334568501,0.221374512,0.16728425,0.530448377,0.847717226,0.386984944,0.110751569,0.789473712,0.103448279
0.374117672,0.35676235,0.340690941,0.328620434,0.311825335,0.246706352,0.143893555,0.112941176,0.137497678,0.13338235,1,0.200744644,0.140588224,0.276806742,0.180943057,0.179593876,0.126853392,0.115744621,0.107058823,0.100189067,0.0949112922,0.110350177,0.120574228,0.118062563,0.116694681,0.138331011,0.138982266,0.128088161,0.106647998,0.109579839,0.113543428,0.119313739,0.126722708,0.136001408,0.147969201,0.162257269,0.187983245,0.211697057,0.213267997,0.204929978,0.198898226,0.194698885,0.192310929,0.191428587,0.191671357,0.193949595,0.181612909,0.133949578,0.138515428,0.156027094,0.165378168,0.175742328,0.190756351,0.0745494738,0.0800000131,0.0978104919,0.119421132,0.152465045,0.197315708,0.296050429,0.314705878,0.313109249,0.313949585,0.317584068,0.323772192,0.332770824,0.345112056,0.351718068,0.372455716,0.397913247,0.434901983,0.40495795,0.18080923,0.0499674603,0.359854281,0.138516903,0.435199291,0.327341616,0.217599645,0.163670808,0.514199495,0.857670605,0.467186391,0.138393313,0.578947365,0.103448279
0.373445421,0.356596619,0.340219438,0.328557432,0.294136167,0.247719437,0.144999996,0.116136797,0.139309049,0.13338235,0.325210094,0.203678831,0.139383748,0.278823555,0.179873958,0.137815133,0.123996258,0.113366008,0.105042011,0.0948692411,0.0950047001,0.118725531,0.119253032,0.11705415,0.115910359,0.137478992,0.138398707,0.111680605,0.106069103,0.108975269,0.113361344,0.119227365,0.127021492,0.136337548,0.148524761,0.163863257,0.187226906,0.214353457,0.210527539,0.202528015,0.19658266,0.192931846,0.190616265,0.19008404,0.190494895,0.192752108,0.173029721,0.132917836,0.137507021,0.155310482,0.165298805,0.177927196,0.190588266,0.0748856068,0.0786554813,0.0998319313,0.118169971,0.151785761,0.198627591,0.297899187,0.315350145,0.31399861,0.315112054,0.318865597,0.32537818,0.334512174,0.347451001,0.357997209,0.375079453,0.401904821,0.437180161,0.403678775,0.180500403,0.0515764989,0.361641556,0.135773078,0.433071643,0.320995092,0.216535822,0.160497546,0.500458121,0.865760744,0.373362511,0.128636107,0.684210539,0.310344815
